iter	RMSE
0	7.780649403
1	7.588948472
2	7.399708085
3	7.22549538
4	7.059897012
5	6.891613005
6	6.735581553
7	6.566906175
8	6.43777079
9	6.296318731
10	6.168538382
11	6.04840619
12	5.941525071
13	5.841556553
14	5.726012912
15	5.628842023
16	5.52497678
17	5.426094231
18	5.343935582
19	5.26928938
20	5.183245291
21	5.110985496
22	5.038184082
23	4.969247382
24	4.90458207
25	4.838561123
26	4.780927598
27	4.72229848
28	4.665452452
29	4.610011245
30	4.558261847
31	4.514117004
32	4.467188569
33	4.415789288
34	4.37069932
35	4.323755019
36	4.281370197
37	4.238300903
38	4.200727149
39	4.163470709
40	4.130074896
41	4.092563322
42	4.059668495
43	4.026345175
44	3.993637163
45	3.962517881
46	3.932078832
47	3.908248163
48	3.876876818
49	3.84587396
50	3.816293477
51	3.791118576
52	3.762123615
53	3.738489911
54	3.716383111
55	3.686609672
56	3.663232842
57	3.641476318
58	3.618980969
59	3.597935475
60	3.576706292
61	3.553722283
62	3.534753639
63	3.517654894
64	3.497543799
65	3.474928726
66	3.452110843
67	3.434329374
68	3.414870664
69	3.396885952
70	3.379220549
71	3.35944345
72	3.341747682
73	3.327702197
74	3.307386294
75	3.291787246
76	3.275477122
77	3.257171918
78	3.242871039
79	3.224703969
80	3.208218329
81	3.196220191
82	3.180224389
83	3.167438598
84	3.155174059
85	3.140099925
86	3.127876129
87	3.113955343
88	3.097857561
89	3.085026948
90	3.071574835
91	3.059437983
92	3.047592812
93	3.035412873
94	3.027781143
95	3.014519424
96	3.002768543
97	2.992884368
98	2.980484574
99	2.968109348
100	2.958317954
101	2.948305441
102	2.936398813
103	2.926894629
104	2.916877342
105	2.906306012
106	2.896320643
107	2.88581174
108	2.876433
109	2.867363677
110	2.858636429
111	2.848112385
112	2.838631412
113	2.828931917
114	2.819902103
115	2.81001523
116	2.799592204
117	2.788905697
118	2.779376116
119	2.771263947
120	2.760918643
121	2.752182576
122	2.744628656
123	2.736329582
124	2.72819426
125	2.720779486
126	2.712865836
127	2.70688078
128	2.698366157
129	2.688367962
130	2.680641087
131	2.673121259
132	2.665485787
133	2.658832694
134	2.64970619
135	2.640935213
136	2.632329597
137	2.625564974
138	2.617396042
139	2.61142006
140	2.60368974
141	2.595994671
142	2.589164293
143	2.583447956
144	2.576623886
145	2.56889714
146	2.562811253
147	2.557341448
148	2.550979973
149	2.543722457
150	2.536830003
151	2.529295745
152	2.523411974
153	2.517571442
154	2.510393906
155	2.50315017
156	2.498002488
157	2.491336412
158	2.484681599
159	2.47762097
160	2.471217108
161	2.464467029
162	2.458116104
163	2.45247686
164	2.445708927
165	2.439746268
166	2.432939583
167	2.427215958
168	2.420865094
169	2.414776159
170	2.407807369
171	2.401652998
172	2.39573456
173	2.388458056
174	2.38167328
175	2.376727311
176	2.371099278
177	2.366331202
178	2.361165251
179	2.356644746
180	2.352049048
181	2.346779193
182	2.342082505
183	2.336093127
184	2.328332119
185	2.323233862
186	2.319619879
187	2.31518157
188	2.309212416
189	2.299439255
190	2.29265476
191	2.28472011
192	2.278532716
193	2.27250097
194	2.26733653
195	2.259156336
196	2.25178583
197	2.246587054
198	2.239322718
199	2.235405198
200	2.230773344
201	2.226487609
202	2.220348193
203	2.218024028
204	2.215241871
205	2.211181659
206	2.205094279
207	2.199717759
208	2.195117649
209	2.191712923
210	2.188206552
211	2.180887246
212	2.175967207
213	2.170953253
214	2.168490428
215	2.161746529
216	2.154822913
217	2.15001495
218	2.145691549
219	2.140125442
220	2.136693333
221	2.134025906
222	2.129037062
223	2.126083428
224	2.119916823
225	2.11284884
226	2.108615528
227	2.106252829
228	2.101479451
229	2.095838196
230	2.091721345
231	2.086383819
232	2.081326547
233	2.078464132
234	2.073043593
235	2.070160308
236	2.067505721
237	2.065267207
238	2.063319862
239	2.058648276
240	2.052743844
241	2.050545953
242	2.048691029
243	2.046417087
244	2.04135413
245	2.036755165
246	2.03358479
247	2.031107098
248	2.024729205
249	2.022863507
250	2.020991427
251	2.015965474
252	2.014186617
253	2.012396001
254	2.010797213
255	2.008989313
256	2.004536587
257	2.002868884
258	2.001220763
259	1.99948635
260	1.998500447
261	1.994517073
262	1.988570678
263	1.982781357
264	1.978343127
265	1.974779359
266	1.96888693
267	1.963692461
268	1.959167527
269	1.957706701
270	1.956114859
271	1.952161711
272	1.948865848
273	1.943907075
274	1.942260399
275	1.938635137
276	1.936625808
277	1.931725732
278	1.927657833
279	1.924119061
280	1.920133459
281	1.915693106
282	1.9120492
283	1.907133176
284	1.905649209
285	1.902202352
286	1.896638464
287	1.893101131
288	1.889772207
289	1.885136153
290	1.881676332
291	1.88012317
292	1.876220038
293	1.87289266
294	1.869208791
295	1.86577311
296	1.860373941
297	1.856734158
298	1.852804421
299	1.849443005
300	1.84652561
301	1.841911434
302	1.837558269
303	1.8340026
304	1.831306564
305	1.827574961
306	1.826018042
307	1.822171878
308	1.817791242
309	1.814034748
310	1.810828526
311	1.808155463
312	1.804346838
313	1.802039009
314	1.798456473
315	1.797303262
316	1.793781715
317	1.791098078
318	1.788706419
319	1.784788872
320	1.781632489
321	1.778101294
322	1.774756025
323	1.771329777
324	1.769384045
325	1.765362797
326	1.761125652
327	1.757589293
328	1.755452371
329	1.750846608
330	1.747818599
331	1.743700817
332	1.741014767
333	1.737616375
