iter	Passed	Remaining
0	1	1091
1	2	1076
2	3	1052
3	4	1062
4	5	1070
5	6	1089
6	7	1094
7	8	1108
8	10	1109
9	11	1102
10	12	1098
11	13	1090
12	14	1087
13	15	1086
14	16	1082
15	17	1078
16	18	1082
17	20	1129
18	21	1122
19	22	1114
20	23	1109
21	24	1103
22	26	1133
23	27	1126
24	28	1121
25	29	1115
26	30	1109
27	31	1104
28	32	1101
29	33	1095
30	35	1120
31	37	1139
32	38	1133
33	39	1131
34	41	1148
35	42	1143
36	44	1163
37	45	1157
38	46	1152
39	47	1146
40	49	1159
41	50	1154
42	51	1149
43	52	1144
44	53	1139
45	55	1149
46	57	1159
47	59	1170
48	60	1180
49	61	1175
50	62	1170
51	64	1181
52	66	1187
53	68	1194
54	70	1203
55	71	1210
56	72	1205
57	74	1202
58	75	1211
59	77	1219
60	79	1230
61	82	1249
62	84	1256
63	86	1262
64	88	1268
65	89	1271
66	92	1287
67	94	1291
68	96	1297
69	97	1301
70	98	1295
71	100	1300
72	102	1305
73	104	1308
74	106	1312
75	108	1316
76	110	1319
77	111	1314
78	113	1318
79	114	1321
80	115	1315
81	117	1316
82	119	1320
83	121	1323
84	123	1326
85	124	1320
86	127	1340
87	129	1343
88	132	1355
89	135	1366
90	137	1376
91	140	1386
92	142	1388
93	144	1395
94	146	1396
95	148	1397
96	150	1399
97	152	1406
98	155	1413
99	157	1415
100	158	1414
101	160	1415
102	163	1423
103	165	1424
104	167	1431
105	169	1431
106	171	1431
107	173	1436
108	176	1443
109	177	1436
110	179	1438
111	182	1443
112	183	1444
113	185	1442
114	187	1443
115	190	1449
116	191	1443
117	193	1443
118	194	1437
119	196	1437
120	197	1438
121	199	1437
122	201	1436
123	204	1441
124	205	1435
125	206	1435
126	209	1441
127	211	1441
128	214	1447
129	216	1446
130	218	1447
131	220	1447
132	221	1447
133	223	1446
134	227	1455
135	228	1454
136	230	1453
137	232	1452
138	234	1452
139	237	1457
140	238	1455
141	240	1454
142	243	1458
143	246	1466
144	249	1470
145	252	1474
146	254	1478
147	257	1479
148	260	1487
149	262	1489
150	264	1488
151	267	1491
152	269	1494
153	271	1493
154	273	1491
155	275	1491
156	277	1489
157	279	1491
158	282	1494
159	284	1492
160	286	1494
161	288	1493
162	290	1491
163	291	1486
164	292	1480
165	293	1475
166	294	1469
167	295	1464
168	296	1459
169	299	1461
170	300	1456
171	301	1450
172	304	1453
173	305	1452
174	307	1451
175	310	1452
176	312	1454
177	314	1452
178	316	1451
179	318	1452
180	320	1451
181	321	1446
182	325	1452
183	326	1450
184	328	1447
185	330	1448
186	332	1447
187	335	1448
188	338	1450
189	340	1453
190	342	1451
191	344	1449
192	347	1451
193	348	1449
194	351	1451
195	353	1449
196	355	1447
197	357	1449
198	359	1448
199	362	1449
200	365	1451
201	367	1452
202	370	1454
203	372	1452
204	374	1450
205	376	1450
206	378	1449
207	379	1446
208	382	1447
209	385	1448
210	386	1446
211	388	1444
212	390	1442
213	393	1443
214	394	1441
215	396	1440
216	398	1438
217	400	1438
218	402	1436
219	405	1437
220	407	1435
221	408	1433
222	409	1428
223	411	1426
224	413	1423
225	416	1424
226	417	1420
227	419	1421
228	421	1419
229	422	1414
230	424	1413
231	426	1411
232	428	1410
233	430	1408
234	432	1408
235	434	1406
236	437	1406
237	438	1404
238	441	1405
239	443	1403
240	445	1402
241	447	1402
242	449	1400
243	452	1401
244	454	1401
245	457	1402
246	460	1402
247	461	1400
248	463	1398
249	464	1394
250	465	1389
251	467	1387
252	470	1387
253	471	1385
254	473	1383
255	476	1383
256	477	1381
257	479	1379
258	481	1377
259	483	1377
260	486	1377
261	489	1378
262	491	1376
263	492	1374
264	494	1372
265	496	1370
266	498	1368
267	501	1369
268	503	1367
269	505	1367
270	508	1367
271	510	1365
272	512	1363
273	514	1362
274	516	1362
275	518	1360
276	520	1359
277	523	1358
278	525	1356
279	526	1354
280	528	1352
281	530	1351
282	532	1349
283	534	1347
284	536	1347
285	539	1346
286	541	1344
287	543	1342
288	545	1340
289	546	1338
290	548	1337
291	550	1335
292	552	1333
293	554	1331
294	556	1329
295	558	1327
296	559	1325
297	561	1322
298	564	1322
299	565	1320
300	567	1318
301	569	1316
302	571	1314
303	573	1312
304	574	1310
305	576	1308
306	579	1307
307	582	1307
308	583	1303
309	584	1301
310	586	1299
311	588	1297
312	590	1295
313	592	1294
314	594	1293
315	596	1291
316	597	1287
317	599	1285
318	600	1281
319	601	1278
320	602	1274
321	603	1271
322	604	1267
323	605	1264
324	607	1261
325	608	1258
326	609	1254
327	610	1251
328	612	1249
329	614	1247
330	615	1243
331	617	1241
332	618	1238
333	620	1236
334	622	1235
335	624	1234
336	626	1232
337	628	1231
338	631	1231
339	633	1230
340	636	1230
341	638	1228
342	640	1226
343	642	1225
344	644	1223
345	646	1221
346	648	1219
347	650	1217
348	652	1217
349	654	1215
350	656	1213
351	658	1213
352	660	1211
353	663	1210
354	666	1210
355	668	1208
356	669	1206
357	671	1205
358	673	1203
359	676	1202
360	678	1200
361	680	1198
362	681	1196
363	684	1195
364	686	1193
365	688	1193
366	690	1190
367	691	1186
368	692	1184
369	695	1184
370	697	1182
371	699	1181
372	701	1179
373	703	1177
